id,image_url,scientific_name,common_name,genus
845998,https://inaturalist-open-data.s3.amazonaws.com/photos/1071168/medium.JPG,Terias desjardinsii,,Colias
1064728,https://inaturalist-open-data.s3.amazonaws.com/photos/1334887/medium.jpg,Terias brigitta,,Colias
5258895,https://inaturalist-open-data.s3.amazonaws.com/photos/6507493/medium.jpg,Catopsilia florella,,Colias
5435918,https://inaturalist-open-data.s3.amazonaws.com/photos/6687939/medium.jpg,Catopsilia florella,,Colias
5526335,https://inaturalist-open-data.s3.amazonaws.com/photos/6818287/medium.jpg,Terias desjardinsii,,Colias
5635502,https://inaturalist-open-data.s3.amazonaws.com/photos/6971900/medium.jpeg,Terias brigitta,,Colias
7086407,https://inaturalist-open-data.s3.amazonaws.com/photos/9104347/medium.jpg,Terias brigitta brigitta,,Colias
8251663,https://inaturalist-open-data.s3.amazonaws.com/photos/10943677/medium.jpg,Catopsilia florella,,Colias
8293513,https://inaturalist-open-data.s3.amazonaws.com/photos/11005175/medium.jpg,Catopsilia florella,,Colias
8438686,https://inaturalist-open-data.s3.amazonaws.com/photos/11240737/medium.jpg,Catopsilia florella,,Colias
8443474,https://static.inaturalist.org/photos/11246961/medium.jpg,Terias,,Colias
8443475,https://static.inaturalist.org/photos/11246963/medium.jpg,Catopsilia florella,,Colias
8501767,https://inaturalist-open-data.s3.amazonaws.com/photos/11343171/medium.jpeg,Terias hecabe solifera,,Colias
8553087,https://inaturalist-open-data.s3.amazonaws.com/photos/11429481/medium.jpeg,Catopsilia florella,,Colias
8645050,https://inaturalist-open-data.s3.amazonaws.com/photos/11574063/medium.jpeg,Catopsilia florella,,Colias
9247432,https://inaturalist-open-data.s3.amazonaws.com/photos/12519975/medium.jpg,Catopsilia florella,,Colias
9351313,https://inaturalist-open-data.s3.amazonaws.com/photos/12691164/medium.jpeg,Terias brigitta,,Colias
9381012,https://inaturalist-open-data.s3.amazonaws.com/photos/12741640/medium.jpg,Terias brigitta brigitta,,Colias
9381616,https://inaturalist-open-data.s3.amazonaws.com/photos/12743296/medium.jpg,Terias floricola floricola,,Colias
9596952,https://inaturalist-open-data.s3.amazonaws.com/photos/13093872/medium.jpg,Colias electo electo,,Colias
9837010,https://inaturalist-open-data.s3.amazonaws.com/photos/13471137/medium.jpeg,Terias,,Colias
10230785,https://inaturalist-open-data.s3.amazonaws.com/photos/14143485/medium.jpeg,Catopsilia florella,,Colias
10291207,https://static.inaturalist.org/photos/14251083/medium.jpg,Colias electo electo,,Colias
10682423,https://inaturalist-open-data.s3.amazonaws.com/photos/14914822/medium.jpeg,Terias brigitta brigitta,,Colias
10799465,https://inaturalist-open-data.s3.amazonaws.com/photos/15116518/medium.jpg,Terias brigitta brigitta,,Colias
10818631,https://inaturalist-open-data.s3.amazonaws.com/photos/15154442/medium.jpg,Terias brigitta brigitta,,Colias
10822512,https://inaturalist-open-data.s3.amazonaws.com/photos/15162029/medium.jpg,Terias brigitta brigitta,,Colias
10823167,https://inaturalist-open-data.s3.amazonaws.com/photos/15163143/medium.jpg,Terias floricola,,Colias
10840526,https://inaturalist-open-data.s3.amazonaws.com/photos/15197587/medium.jpg,Terias floricola floricola,,Colias
10843384,https://inaturalist-open-data.s3.amazonaws.com/photos/15203549/medium.jpg,Catopsilia florella,,Colias
10845450,https://inaturalist-open-data.s3.amazonaws.com/photos/15207744/medium.jpg,Terias brigitta brigitta,,Colias
10845909,https://inaturalist-open-data.s3.amazonaws.com/photos/15208574/medium.jpg,Catopsilia florella,,Colias
10846216,https://inaturalist-open-data.s3.amazonaws.com/photos/15209244/medium.jpg,Terias hecabe solifera,,Colias
10852426,https://inaturalist-open-data.s3.amazonaws.com/photos/15222482/medium.jpg,Terias hecabe solifera,,Colias
10856311,https://inaturalist-open-data.s3.amazonaws.com/photos/15230154/medium.jpg,Terias brigitta brigitta,,Colias
10865758,https://inaturalist-open-data.s3.amazonaws.com/photos/15248958/medium.jpg,Catopsilia florella,,Colias
10876606,https://inaturalist-open-data.s3.amazonaws.com/photos/15271115/medium.jpg,Catopsilia florella,,Colias
10890547,https://inaturalist-open-data.s3.amazonaws.com/photos/15300061/medium.jpg,Terias floricola floricola,,Colias
10896042,https://inaturalist-open-data.s3.amazonaws.com/photos/15311506/medium.jpg,Catopsilia florella,,Colias
10896831,https://inaturalist-open-data.s3.amazonaws.com/photos/15313142/medium.jpg,Terias hecabe solifera,,Colias
10916284,https://inaturalist-open-data.s3.amazonaws.com/photos/15349523/medium.jpg,Colias electo electo,,Colias
10917878,https://inaturalist-open-data.s3.amazonaws.com/photos/19203698/medium.jpg,Catopsilia florella,,Colias
10918277,https://inaturalist-open-data.s3.amazonaws.com/photos/15353380/medium.jpg,Terias floricola floricola,,Colias
